    Spec/   Proof/    Exec/    Rust File
47 chapters, 78,272 proof lines, 63,119 exec lines, ratio 1.24
6 min  8,872 max  1665.4 avg  1034.0 median (proof lines)

By module:
|   # | Chap       | Module                         |  PrfTot |  InSpec |  InExec | InProof | ExecLOC | Prf/Ex |
| --- | ---------- | ------------------------------ | ------- | ------- | ------- | ------- | ------- | ------ |
|   1 | Chap41     | OrdKeyMap                      |   3,725 |      32 |   3,230 |     463 |   1,142 |   3.26 |
|   2 | Chap39     | BSTTreapStEph                  |   2,086 |     130 |   1,663 |     293 |     785 |   2.66 |
|   3 | Chap42     | TableStPer                     |   1,740 |      52 |   1,479 |     209 |     797 |   2.18 |
|   4 | Chap42     | TableMtEph                     |   1,695 |      27 |   1,271 |     397 |     811 |   2.09 |
|   5 | Chap42     | TableStEph                     |   1,680 |      35 |   1,469 |     176 |     830 |   2.02 |
|   6 | Chap43     | OrderedTableStEph              |   1,492 |      56 |   1,217 |     219 |     783 |   1.91 |
|   7 | Chap39     | BSTParaTreapMtEph              |   1,459 |      33 |   1,295 |     131 |     487 |   3.00 |
|   8 | Chap37     | BSTSplayMtEph                  |   1,350 |      82 |   1,256 |      12 |     564 |   2.39 |
|   9 | Chap65     | UnionFindStEph                 |   1,330 |     174 |     270 |     886 |     235 |   5.66 |
|  10 | Chap37     | BSTSplayStEph                  |   1,201 |      71 |   1,097 |      33 |     379 |   3.17 |
|  11 | Chap43     | OrderedTableStPer              |   1,183 |      61 |     880 |     242 |     547 |   2.16 |
|  12 | Chap38     | BSTParaMtEph                   |   1,182 |      36 |   1,083 |      63 |     539 |   2.19 |
|  13 | Chap38     | BSTParaStEph                   |   1,084 |      36 |     981 |      67 |     418 |   2.59 |
|  14 | vstdplus   | seq_set                        |   1,055 |      74 |       0 |     981 |       0 |      - |
|  15 | Chap45     | BinaryHeapPQ                   |     971 |      52 |     808 |     111 |     600 |   1.62 |
|  16 | Chap47     | QuadProbFlatHashTableStEph     |     903 |      46 |     466 |     391 |     272 |   3.32 |
|  17 | Chap40     | BSTReducedStEph                |     835 |      98 |     629 |     108 |     554 |   1.51 |
|  18 | Chap40     | BSTKeyValueStEph               |     828 |     114 |     534 |     180 |     462 |   1.79 |
|  19 | Chap39     | BSTTreapMtEph                  |     766 |     119 |     471 |     176 |     398 |   1.92 |
|  20 | Chap18     | ArraySeqMtEph                  |     765 |      73 |     616 |      76 |     764 |   1.00 |
|  21 | Chap40     | BSTSizeStEph                   |     740 |      92 |     554 |      94 |     566 |   1.31 |
|  22 | Chap41     | ArraySetStEph                  |     723 |      15 |     499 |     209 |     384 |   1.88 |
|  23 | Chap19     | ArraySeqMtEph                  |     711 |      65 |     541 |     105 |     690 |   1.03 |
|  24 | Chap62     | StarPartitionMtEph             |     696 |      21 |     675 |       0 |     942 |   0.74 |
|  25 | Chap37     | BSTRBMtEph                     |     690 |      68 |     550 |      72 |     516 |   1.34 |
|  26 | Chap55     | TopoSortStEph                  |     684 |      75 |     397 |     212 |     317 |   2.16 |
|  27 | Chap19     | ArraySeqMtEphSlice             |     676 |      93 |     435 |     148 |     772 |   0.88 |
|  28 | Chap18     | ArraySeq                       |     673 |     104 |     437 |     132 |     568 |   1.18 |
|  29 | Chap18     | ArraySeqMtPer                  |     672 |      57 |     575 |      40 |     827 |   0.81 |
|  30 | Chap37     | BSTAVLStEph                    |     671 |      33 |     600 |      38 |     296 |   2.27 |
|  31 | Chap18     | ArraySeqMtEphSlice             |     662 |      93 |     408 |     161 |     760 |   0.87 |
|  32 | Chap55     | CycleDetectStEph               |     613 |      22 |     423 |     168 |     238 |   2.58 |
|  33 | Chap45     | SortedListPQ                   |     605 |      16 |     573 |      16 |     318 |   1.90 |
|  34 | Chap47     | DoubleHashFlatHashTableStEph   |     585 |      40 |     460 |      85 |     305 |   1.92 |
|  35 | Chap36     | QuickSortMtEphSlice            |     582 |      17 |     439 |     126 |     374 |   1.56 |
|  36 | Chap43     | OrderedSetStEph                |     576 |      38 |     508 |      30 |     275 |   2.09 |
|  37 | Chap52     | AdjTableGraphMtPer             |     570 |      25 |     505 |      40 |     218 |   2.61 |
|  38 | Chap47     | LinProbFlatHashTableStEph      |     565 |      38 |     445 |      82 |     258 |   2.19 |
|  39 | Chap37     | BSTAVLMtEph                    |     564 |      33 |     493 |      38 |     336 |   1.68 |
|  40 | Chap45     | LeftistHeapPQ                  |     551 |      89 |     382 |      80 |     508 |   1.08 |
|  41 | Chap52     | AdjTableGraphStEph             |     548 |      42 |     406 |     100 |     205 |   2.67 |
|  42 | Chap43     | OrderedSetStPer                |     545 |      40 |     475 |      30 |     264 |   2.06 |
|  43 | Chap37     | AVLTreeSeq                     |     544 |     119 |     387 |      38 |     518 |   1.05 |
